text,Ad1,Ad2,Ad3,sum_labels,agreed_labels,percentual_labels,labels_numbers
"Imagini ca în filmele de groază, invazie de lăcuste filmată în <|PROPN|> , s- a declarat stare de urgenţă ( video )","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 1, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0.33, 1, 0, 0, 0, 0]",[3]
"INTERVIU Tata de mort in Colectiv, la 5 ani dupa tragedie: "" In orice stat normal, trebuia sa fie de mult la puscarie ""","[1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0.33, 0, 0]",[1]
"#COVID19, <|PROPN|>: “Sper ca până în sezonul rece să fim pe o pantă descendentă şi să avem deschise restaurantele, cu respectarea unor reguli. Restaurantele ar putea fi deschise, dacă timp de 2 săptămâni se înregistrează o scădere a numărului de cazuri de la o zi la alta”.","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]",[6]
Goldman Sachs prognozează în SUA o criză de patru ori mai rea ca în 2008-,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",[3]
Mă miră fiindcă era vorba că se încălzește dar apreciez surpriza,"[0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0.33]",[2]
"Se mizeaza pe faptul sa fim imunizati (infectati) toti, multi vor fi asimptomatici, restul, scapa cine poate! Un sfat:Aveti grija de ficatul vostru!","[0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[2, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0, 0.33, 0.33, 0]",[1]
", invitat în <|PROPN|> după un mesaj pe <|PROPN|> despre piramide construite de '' extratereştri ''-","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
La noi n-aș crede!,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0]","[1, 2, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[0.33, 0.66, 0, 0.33, 0, 0.33, 0]",[2]
BANCA <|PROPN|>: Anunt UIMITOR cu Premiera pentru <|PROPN|> -,"[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0.66, 0, 0, 0.33, 0, 0]",[2]
Îngrijorare maximă în rândul specialiștilor! O țară alungă coronavirusul cu fum,"[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0]","[1, 2, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0.33, 0.66, 0.33, 0, 0.33, 0, 0]",[2]
Să crape odată moroiul nenorocit!,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Senzaţii neplacute 😣,"[0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[2, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0.33, 0.33, 0, 0]",[1]
"Caragiale, revizor de <|PROPN|> , despre un învăţător căzut în patima beţiei: „ Se bate în mijlocul satului cu nevasta ameţită ca şi dânsul şi nu mai dă pe la şcoală “","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0.33, 0.33, 0, 0.66]",[7]
"Ministrul Finanțelor, <|PROPN|>: Deficitul bugetar pe primele 9 luni este de 6,36% din PIB. ""România trece, alături de economia globală, prin cea mai mare criză din ultimii 100 de ani"" <|URL|> …","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[0, 0, 2, 0, 2, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[0, 0, 0.66, 0, 0.66, 0, 0]","[3, 5]"
"Actrița Maia <|PROPN|>, despre a doua închidere a teatrelor: ”A fost năucitoare vestea... "" <|URL|> ","[0, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[2, 3, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[0.66, 1, 0, 0, 0, 0, 0]","[1, 2]"
"Sa nu uitam niciodata ce a fost frumos si sa nu ne negam trecutul, oricum ar fi fost el. Amintirile nu se inlocuiesc, ci se hranesc cu altele. Sa <|PROPN|> mai departe cu optimism, <|PROPN|> la ceea ce a fost. Nimic nu o sa mai fie la fel … si unde nimic nu a fost, totul poate fi …","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 3, 2]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0.66]","[6, 7]"
"Jurnalist: Speranța oamenilor în liderii de dreapta este una deșartă, iar poziționarea unora dintre ei drept singura alternativă este o iluzie- <|URL|> …","[1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 1, 0]","[0.33, 0, 0, 0, 0.33, 0.66, 0]",[6]
simt durerea în suflet și lacrima în ochi,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
Amuzament și actorie. Băiatul asta este bun!!! RomaniiAuTalent,"[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 2, 2]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0.33, 0.66, 0.66]","[6, 7]"
"Românii au înţeles miza alegerilor locale, au venit la vot în vremuri dificile şi au făcut distincţia între responsabilitate şi demagogie, susţine vicepremierul <|PROPN|>.","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0.33, 0]",[5]
Cu mânie proletară <|PROPN|> atacă extrem de dur PSD care cică se luptă să dea Ardealul ungurilor!!...,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0.33, 0, 0]",[4]
"Împacă-te cu ideea că uneori poți fi porumbelul, dar alteori ești doar biata statuie.","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
azi am fost super confident și m-am distrat cu fetele. îmi trebuia o ieșeala de genul.,"[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0.33, 0.66]",[7]
imi e frica nu cred ca stiu suficiente cuvinte,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[1, 0, 2, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0, 0.66, 0, 0, 0, 0]",[3]
"European <|PROPN|> 2020 | <|PROPN|> : Echipa <|PROPN|> este încântată să vă anunțe că am câștigat trei categorii la <|PROPN|> , cu cele trei proiecte cu care am participat:...","[0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0.33, 0, 0, 0, 0, 1]",[7]
"Gata, au dat-o pe față! <|PROPN|> a primit un mesaj surprinzător din partea lui <|PROPN|>, după ce a zis că-l așteaptă pe Moș <|PROPN|>...","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
Ia uitati si jegul asta mancator de rahat ce declaratii face! Cum de <|PROPN|> s- a implicat in asa ceva?? Nu sunt vreo specialista in NIMIC insa iti poti da seama de la o posta cat de corupt este acest jeg infect!,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
"liga1 etapa24 fcsbclinceni Aceasta este echipa trimisă în teren de la partida cu Academica <|PROPN|> , care va începe la 20:00, în direct la Digi <|PROPN|> , ; <|PROPN|> .","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
"Sper să-i suspende pe jegoșii ăia vreo câțiva ani buni. Nu doar că au avut comportament xenofob și neadecvat vis-a-vis de oficiali, dar și-au mai și bătut joc de cauza antirasismului.","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0.33, 0, 0]",[4]
"La mulți ani nostru ce ne aduce bucurie pe pământ, sperăm să fie mai mulți ca tine, dar știm că nici o dată nimeni nu se va putea ridica la standardele tale 💜 💜 💜 ❤ ️ ❤ ️ ❤ ️ 😘 😘 😘 <|PROPN|> <|PROPN|> <|PROPN|> ","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 2, 3]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0.66, 1]","[6, 7]"
"Fost fotbalist român, ucis de coronavirus! „Transmitem familiei îndoliate sincere condoleanțe”...","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
"VIDEO A marcat și a avut o criză de nervi! <|PROPN|>, protagonistul unei faze stranii","[0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 2, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0.66, 0, 0.33, 0.33, 0, 0]",[2]
Curiozitatea feminină i- a fost satisfăcută! 🤣 🤣,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0, 0.66]",[7]
fenomen aducător de temperaturi scăzute... posibile cutremure devastatoare + erupţii vulcanice catastrofale... şi despre care am scris în urmă cu circa 2 săptămîni 😏,"[1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[1, 2, 2, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0.33, 0.66, 0.66, 0, 0.33, 0, 0]","[2, 3]"
"Nu știu, dar e gravă situația. Și ai mei se simt rău ( răceala, sper ), iar deja s- au speriat până și băbuțele din sat, că nu a mers aproape nimeni la Luminație...","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 1, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0.33, 1, 0, 0, 0, 0]",[3]
Tragedie la <|PROPN|> : Un a decedat după ce a căzut de la etajul 6 al unui bloc aflat în contrucție,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0.33, 0, 0.33, 0, 0]",[1]
Vedem concluzia la alegerile locale. Mi- e teamă că ai dreptate.,"[0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[1, 1, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0.33, 1, 0, 0, 0, 0]",[3]
"Parlament-comisii: Candidaţi pentru posturi de ambasadori, printre care şi, aviz favorabil","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0, 0.33]",[5]
"Cîțu este ministru al Sănătății, apoi prim- ministru. Este convocată o ședință de Guvern","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
Cazul uimitor al avocatei costaricane <|PROPN|> via,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",[2]
"Dezamăgire totală pentru mai mulţi turişti români care au ales să-şi petreacă vacanţa pe litoralul bulgăresc, în staţiunea Nisipurile de Aur. Au plătit sejur la un hotel de 4 stele, dar în cameră au găsit mobila ruptă, rugină şi murdărie.","[1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[0.66, 0.66, 0, 0, 0.33, 0, 0]","[1, 2]"
"„Jobul perfect – iluzie cu sens unic”, o campanie de informare asupra riscurilor și...","[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 1, 0, 0]",[5]
"Săracu frustrat, de multe a fost refuzat în viața lui. Iar prin aceste declarații deschide ușa bărbaților. Oare va fi refuzat și de...","[1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0.33, 0, 0, 0, 0, 0]",[1]
nu ma mai refuza atat <|PROPN|> joaca te dracului cu mine pubg,"[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0.33, 0, 0, 0.66, 0, 0, 0]",[4]
Să n-ai niciodată încredere într-un șarpe- <|PROPN|>. 4 | <|PROPN|> | <|PROPN|> isoade complete,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
""" te rog, întoarce-te că intru în depresie ""","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
"Lacrimi <|PROPN|> durere in sufletul unui medic de la Spitalul <|PROPN|> de Urgenta <|PROPN|>.  <|PROPN|> confirmata pozitiv cu <|PROPN|>, este internata in spital  <|PROPN|>   nu isi poate conduce <|PROPN|> decedat la groapa. <|PROPN|> ","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
pe mine <|PROPN|> irita steagul ala de la revolutie,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Noua Colecție de cămăși pentru – cămăși cu mânecă   scurtă,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
Doliu în agricultura românească: A murit unul dintre cei mai mari fermieri români <|URL|> … via,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
aproape niciun un profesor nu crede in mine,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
"Cu drag, mereu! Succes în toate. Sănătate!","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0.66, 0.66]","[6, 7]"
"Probabil. Nu știu exact cum e în fotbal, am auzit de șpăgi la să-ți bage plodul în echipă. Fie-mea face ( alt ) sport de performanță și știu ce jale este în ramură ei sportivă.","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0, 0.33, 0.66, 0, 0]",[5]
"competențe și performanță, doar în școlile noastre","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0.33, 0.66, 0]",[6]
"urăsc când tata <|PROPN|> trimite după lemne, mereu am impresia ca voi fi rapita de o fantoma sau ca mi se întâmpla ceva","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]","[0, 1, 2, 2, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]","[0, 0.33, 0.66, 0.66, 0, 0, 0]","[3, 4]"
Îngrijorat că un pensionar viețuiește în condiții   inadecvate,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
De spaimă,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",[3]
Un trotuar rulant din Gara de Nord care a costat 11 milioane de lei a ajuns în ruină. Imaginile dezolante care îi întâmpină pe,"[1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0.33, 0, 0, 0, 0, 0]",[1]
Linia de ” cărnuri ” vegetale de la <|PROPN|> îți arată viitorul ideal pentru,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
"tema poeziei o constituie condiția creatorului într- o societ. lipsită de aspirații și artificială, cond. mascată de singurătate, fapt care generează o stare de angoasă în raport cu cele 2 experiențe capitale ale existenței umane: iubirea și moartea","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
"Ăsta într-adevăr i- un model de curvă liberală: mincinos, ipocrit, uns cu toate alifiile, gata să-l dea și pe <|PROPN|> -n gât numa ' să-i meargă lui bine. Ce mai, e ceva mai rău ca un câine turbat și mai spurcat ca un vierme de c �","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
s- au pornit ăștia pe grupul clasei bagamias ca iar ia foc caramida asta de tlf,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Vremuri ca acestea sunt pentru totdeauna. fotografii aleatorii de pe telefonul lui <|PROPN|>.,"[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 3, 3, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 0]","[5, 6]"
The Playmaker Show- <|PROPN|>. 26: Excluderea lui <|PROPN|> din <|PROPN|> și hacker-ul care a zguduit fotbalul,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0.33, 0, 0.66, 0, 0]",[5]
"Duminică, 9 august, de la ora 19, live pe paginile noastre de <|PROPN|>, are loc lansarea candidaturii <|PROPN|>, candidatul Alianța <|PROPN|> și al PNL, la Primăria Sectorului 4. Cu votul vostru, aducem competența și transparența în administrația locală. #schimbamfoaia","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0.33, 0]",[5]
Cunosc pe cineva care nu crede în covid dar refuză să-și trimită copilul la școală de frică să nu se infecteze.,"[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0]","[2, 1, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0.33, 0, 0.33, 0.33, 0, 0]",[1]
"Nu contest, sunt conștient că există. Dar nu-mi pot explica. Îs ca ardelenii ăia ce or văzut ptr prima dată <|PROPN|>.... #perplex","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
"Ntz, ntz. Daca nu cheltuiesti la "" noi "" si vrei "" value4money "" nu esti patriot. <|PROPN|> , ntz.!","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0, 0, 0.66, 0, 0]",[5]
Coronavirus Romania Numar alarmant de cazuri noi in <|PROPN|> si in <|PROPN|> . Lista celor mai afectate zone din <|PROPN|> ,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0.33, 0, 0.66, 0, 0]",[5]
O seară plăcută și noapte bună!,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]",[7]
